date,geography,indicator,value
2002-09,Ontario,Average weekly earnings including overtime for all employees,715.54
2002-09,Manitoba,Average weekly earnings including overtime for all employees,605.67
2002-09,Saskatchewan,Average weekly earnings including overtime for all employees,614.64
2002-09,Alberta,Average weekly earnings including overtime for all employees,689.71
2002-09,British Columbia,Average weekly earnings including overtime for all employees,674.46
2002-09,Yukon,Average weekly earnings including overtime for all employees,752.55
2002-09,Northwest Territories,Average weekly earnings including overtime for all employees,919.5
2002-09,Nunavut,Average weekly earnings including overtime for all employees,879.18
2002-10,Canada,Average weekly earnings including overtime for all employees,679.35
2002-10,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,618.31
2002-10,Prince Edward Island,Average weekly earnings including overtime for all employees,560.54
2002-10,Nova Scotia,Average weekly earnings including overtime for all employees,601.54
2002-10,New Brunswick,Average weekly earnings including overtime for all employees,611.15
2002-10,Quebec,Average weekly earnings including overtime for all employees,645.18
2002-10,Ontario,Average weekly earnings including overtime for all employees,719.4
2002-10,Manitoba,Average weekly earnings including overtime for all employees,608.26
2002-10,Saskatchewan,Average weekly earnings including overtime for all employees,616.81
2002-10,Alberta,Average weekly earnings including overtime for all employees,695.4
2002-10,British Columbia,Average weekly earnings including overtime for all employees,673.44
2002-10,Yukon,Average weekly earnings including overtime for all employees,759.59
2002-10,Northwest Territories,Average weekly earnings including overtime for all employees,931.22
2002-10,Nunavut,Average weekly earnings including overtime for all employees,885.42
2002-11,Canada,Average weekly earnings including overtime for all employees,680.45
2002-11,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,627.52
2002-11,Prince Edward Island,Average weekly earnings including overtime for all employees,562.79
2002-11,Nova Scotia,Average weekly earnings including overtime for all employees,602.34
2002-11,New Brunswick,Average weekly earnings including overtime for all employees,607.13
2002-11,Quebec,Average weekly earnings including overtime for all employees,646.4
2002-11,Ontario,Average weekly earnings including overtime for all employees,720.22
2002-11,Manitoba,Average weekly earnings including overtime for all employees,617.5
2002-11,Saskatchewan,Average weekly earnings including overtime for all employees,618.16
2002-11,Alberta,Average weekly earnings including overtime for all employees,697.97
2002-11,British Columbia,Average weekly earnings including overtime for all employees,676.17
2002-11,Yukon,Average weekly earnings including overtime for all employees,748.36
2002-11,Northwest Territories,Average weekly earnings including overtime for all employees,931.68
2002-11,Nunavut,Average weekly earnings including overtime for all employees,905.98
2002-12,Canada,Average weekly earnings including overtime for all employees,685.21
2002-12,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,632.05
2002-12,Prince Edward Island,Average weekly earnings including overtime for all employees,565.31
2002-12,Nova Scotia,Average weekly earnings including overtime for all employees,605.77
2002-12,New Brunswick,Average weekly earnings including overtime for all employees,607.75
2002-12,Quebec,Average weekly earnings including overtime for all employees,649.59
2002-12,Ontario,Average weekly earnings including overtime for all employees,722.68
2002-12,Manitoba,Average weekly earnings including overtime for all employees,621.08
2002-12,Saskatchewan,Average weekly earnings including overtime for all employees,624.64
2002-12,Alberta,Average weekly earnings including overtime for all employees,705.7
2002-12,British Columbia,Average weekly earnings including overtime for all employees,686.38
2002-12,Yukon,Average weekly earnings including overtime for all employees,775.04
2002-12,Northwest Territories,Average weekly earnings including overtime for all employees,968.07
2002-12,Nunavut,Average weekly earnings including overtime for all employees,905.64
2003-01,Canada,Average weekly earnings including overtime for all employees,680.23
2003-01,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,624.44
2003-01,Prince Edward Island,Average weekly earnings including overtime for all employees,563.64
2003-01,Nova Scotia,Average weekly earnings including overtime for all employees,605.71
2003-01,New Brunswick,Average weekly earnings including overtime for all employees,607.89
2003-01,Quebec,Average weekly earnings including overtime for all employees,646.49
2003-01,Ontario,Average weekly earnings including overtime for all employees,715.27
2003-01,Manitoba,Average weekly earnings including overtime for all employees,614.67
2003-01,Saskatchewan,Average weekly earnings including overtime for all employees,621.26
2003-01,Alberta,Average weekly earnings including overtime for all employees,703.82
2003-01,British Columbia,Average weekly earnings including overtime for all employees,679.54
2003-01,Yukon,Average weekly earnings including overtime for all employees,750.99
2003-01,Northwest Territories,Average weekly earnings including overtime for all employees,950.25
2003-01,Nunavut,Average weekly earnings including overtime for all employees,908.97
2003-02,Canada,Average weekly earnings including overtime for all employees,686.95
2003-02,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,635.42
2003-02,Prince Edward Island,Average weekly earnings including overtime for all employees,571.43
2003-02,Nova Scotia,Average weekly earnings including overtime for all employees,608.28
2003-02,New Brunswick,Average weekly earnings including overtime for all employees,610.62
2003-02,Quebec,Average weekly earnings including overtime for all employees,652.79
2003-02,Ontario,Average weekly earnings including overtime for all employees,724.14
2003-02,Manitoba,Average weekly earnings including overtime for all employees,616.47
2003-02,Saskatchewan,Average weekly earnings including overtime for all employees,630.89
2003-02,Alberta,Average weekly earnings including overtime for all employees,711.23
2003-02,British Columbia,Average weekly earnings including overtime for all employees,682.47
2003-02,Yukon,Average weekly earnings including overtime for all employees,758.77
2003-02,Northwest Territories,Average weekly earnings including overtime for all employees,966.76
2003-02,Nunavut,Average weekly earnings including overtime for all employees,903.48
2003-03,Canada,Average weekly earnings including overtime for all employees,682.41
2003-03,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,629.42
2003-03,Prince Edward Island,Average weekly earnings including overtime for all employees,559.02
2003-03,Nova Scotia,Average weekly earnings including overtime for all employees,605.84
2003-03,New Brunswick,Average weekly earnings including overtime for all employees,609.54
2003-03,Quebec,Average weekly earnings including overtime for all employees,649.41
2003-03,Ontario,Average weekly earnings including overtime for all employees,720.48
2003-03,Manitoba,Average weekly earnings including overtime for all employees,615.63
2003-03,Saskatchewan,Average weekly earnings including overtime for all employees,627.02
2003-03,Alberta,Average weekly earnings including overtime for all employees,703.32
2003-03,British Columbia,Average weekly earnings including overtime for all employees,678.27
2003-03,Yukon,Average weekly earnings including overtime for all employees,748.58
2003-03,Northwest Territories,Average weekly earnings including overtime for all employees,951.47
2003-03,Nunavut,Average weekly earnings including overtime for all employees,902.39
2003-04,Canada,Average weekly earnings including overtime for all employees,685.79
2003-04,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,632.97
2003-04,Prince Edward Island,Average weekly earnings including overtime for all employees,562.88
2003-04,Nova Scotia,Average weekly earnings including overtime for all employees,611.53
2003-04,New Brunswick,Average weekly earnings including overtime for all employees,614.27
2003-04,Quebec,Average weekly earnings including overtime for all employees,650.96
2003-04,Ontario,Average weekly earnings including overtime for all employees,721.21
2003-04,Manitoba,Average weekly earnings including overtime for all employees,617.16
2003-04,Saskatchewan,Average weekly earnings including overtime for all employees,633.3
2003-04,Alberta,Average weekly earnings including overtime for all employees,712.73
2003-04,British Columbia,Average weekly earnings including overtime for all employees,683.88
2003-04,Yukon,Average weekly earnings including overtime for all employees,745.39
2003-04,Northwest Territories,Average weekly earnings including overtime for all employees,959.15
2003-04,Nunavut,Average weekly earnings including overtime for all employees,909.66
2003-05,Canada,Average weekly earnings including overtime for all employees,684.85
2003-05,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,638.4
2003-05,Prince Edward Island,Average weekly earnings including overtime for all employees,566.9
2003-05,Nova Scotia,Average weekly earnings including overtime for all employees,610.48
2003-05,New Brunswick,Average weekly earnings including overtime for all employees,613.41
2003-05,Quebec,Average weekly earnings including overtime for all employees,652.19
2003-05,Ontario,Average weekly earnings including overtime for all employees,722.77
2003-05,Manitoba,Average weekly earnings including overtime for all employees,614.57
2003-05,Saskatchewan,Average weekly earnings including overtime for all employees,627.76
2003-05,Alberta,Average weekly earnings including overtime for all employees,704.12
2003-05,British Columbia,Average weekly earnings including overtime for all employees,675.58
2003-05,Yukon,Average weekly earnings including overtime for all employees,743.08
2003-05,Northwest Territories,Average weekly earnings including overtime for all employees,938.65
2003-05,Nunavut,Average weekly earnings including overtime for all employees,899.15
2003-06,Canada,Average weekly earnings including overtime for all employees,691.5
2003-06,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,646.34
2003-06,Prince Edward Island,Average weekly earnings including overtime for all employees,568.19
2003-06,Nova Scotia,Average weekly earnings including overtime for all employees,610.23
2003-06,New Brunswick,Average weekly earnings including overtime for all employees,618.05
2003-06,Quebec,Average weekly earnings including overtime for all employees,655.7
2003-06,Ontario,Average weekly earnings including overtime for all employees,728.74
2003-06,Manitoba,Average weekly earnings including overtime for all employees,618.71
2003-06,Saskatchewan,Average weekly earnings including overtime for all employees,641.75
2003-06,Alberta,Average weekly earnings including overtime for all employees,716.91
2003-06,British Columbia,Average weekly earnings including overtime for all employees,689.85
2003-06,Yukon,Average weekly earnings including overtime for all employees,760.55
2003-06,Northwest Territories,Average weekly earnings including overtime for all employees,950.86
2003-06,Nunavut,Average weekly earnings including overtime for all employees,904.61
2003-07,Canada,Average weekly earnings including overtime for all employees,691.46
2003-07,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,650.66
2003-07,Prince Edward Island,Average weekly earnings including overtime for all employees,567.08
2003-07,Nova Scotia,Average weekly earnings including overtime for all employees,609.49
2003-07,New Brunswick,Average weekly earnings including overtime for all employees,623.55
2003-07,Quebec,Average weekly earnings including overtime for all employees,656.51
