date,geography,indicator,value
1962-04,Northwest Territories including Nunavut,Population,24000
1962-07,Canada,Population,18614000
1962-07,Newfoundland and Labrador,Population,469000
1962-07,Prince Edward Island,Population,107000
1962-07,Nova Scotia,Population,746000
1962-07,New Brunswick,Population,605000
1962-07,Quebec,Population,5381000
1962-07,Ontario,Population,6362000
1962-07,Manitoba,Population,937000
1962-07,Saskatchewan,Population,931000
1962-07,Alberta,Population,1373000
1962-07,British Columbia,Population,1663000
1962-07,Yukon,Population,15000
1962-07,Northwest Territories including Nunavut,Population,25000
1962-10,Canada,Population,18708000
1962-10,Newfoundland and Labrador,Population,471000
1962-10,Prince Edward Island,Population,107000
1962-10,Nova Scotia,Population,748000
1962-10,New Brunswick,Population,607000
1962-10,Quebec,Population,5413000
1962-10,Ontario,Population,6395000
1962-10,Manitoba,Population,940000
1962-10,Saskatchewan,Population,931000
1962-10,Alberta,Population,1382000
1962-10,British Columbia,Population,1674000
1962-10,Yukon,Population,15000
1962-10,Northwest Territories including Nunavut,Population,25000
1963-01,Canada,Population,18787000
1963-01,Newfoundland and Labrador,Population,473000
1963-01,Prince Edward Island,Population,107000
1963-01,Nova Scotia,Population,747000
1963-01,New Brunswick,Population,607000
1963-01,Quebec,Population,5437000
1963-01,Ontario,Population,6427000
1963-01,Manitoba,Population,944000
1963-01,Saskatchewan,Population,928000
1963-01,Alberta,Population,1391000
1963-01,British Columbia,Population,1686000
1963-01,Yukon,Population,15000
1963-01,Northwest Territories including Nunavut,Population,25000
1963-04,Canada,Population,18864000
1963-04,Newfoundland and Labrador,Population,474000
1963-04,Prince Edward Island,Population,108000
1963-04,Nova Scotia,Population,749000
1963-04,New Brunswick,Population,608000
1963-04,Quebec,Population,5461000
1963-04,Ontario,Population,6455000
1963-04,Manitoba,Population,947000
1963-04,Saskatchewan,Population,930000
1963-04,Alberta,Population,1398000
1963-04,British Columbia,Population,1694000
1963-04,Yukon,Population,15000
1963-04,Northwest Territories including Nunavut,Population,25000
1963-07,Canada,Population,18964000
1963-07,Newfoundland and Labrador,Population,477000
1963-07,Prince Edward Island,Population,108000
1963-07,Nova Scotia,Population,751000
1963-07,New Brunswick,Population,609000
1963-07,Quebec,Population,5489000
1963-07,Ontario,Population,6497000
1963-07,Manitoba,Population,950000
1963-07,Saskatchewan,Population,933000
1963-07,Alberta,Population,1407000
1963-07,British Columbia,Population,1702000
1963-07,Yukon,Population,15000
1963-07,Northwest Territories including Nunavut,Population,26000
1963-10,Canada,Population,19061000
1963-10,Newfoundland and Labrador,Population,479000
1963-10,Prince Edward Island,Population,109000
1963-10,Nova Scotia,Population,752000
1963-10,New Brunswick,Population,609000
1963-10,Quebec,Population,5518000
1963-10,Ontario,Population,6535000
1963-10,Manitoba,Population,953000
1963-10,Saskatchewan,Population,935000
1963-10,Alberta,Population,1414000
1963-10,British Columbia,Population,1716000
1963-10,Yukon,Population,15000
1963-10,Northwest Territories including Nunavut,Population,26000
1964-01,Canada,Population,19142000
1964-01,Newfoundland and Labrador,Population,480000
1964-01,Prince Edward Island,Population,109000
1964-01,Nova Scotia,Population,752000
1964-01,New Brunswick,Population,609000
1964-01,Quebec,Population,5541000
1964-01,Ontario,Population,6572000
1964-01,Manitoba,Population,955000
1964-01,Saskatchewan,Population,936000
1964-01,Alberta,Population,1419000
1964-01,British Columbia,Population,1728000
1964-01,Yukon,Population,15000
1964-01,Northwest Territories including Nunavut,Population,26000
1964-04,Canada,Population,19222000
1964-04,Newfoundland and Labrador,Population,482000
1964-04,Prince Edward Island,Population,109000
1964-04,Nova Scotia,Population,753000
1964-04,New Brunswick,Population,610000
1964-04,Quebec,Population,5566000
1964-04,Ontario,Population,6602000
1964-04,Manitoba,Population,957000
1964-04,Saskatchewan,Population,939000
1964-04,Alberta,Population,1425000
1964-04,British Columbia,Population,1737000
1964-04,Yukon,Population,15000
1964-04,Northwest Territories including Nunavut,Population,27000
1964-07,Canada,Population,19325000
1964-07,Newfoundland and Labrador,Population,484000
1964-07,Prince Edward Island,Population,109000
1964-07,Nova Scotia,Population,755000
1964-07,New Brunswick,Population,612000
1964-07,Quebec,Population,5593000
1964-07,Ontario,Population,6646000
1964-07,Manitoba,Population,960000
1964-07,Saskatchewan,Population,943000
1964-07,Alberta,Population,1431000
1964-07,British Columbia,Population,1750000
1964-07,Yukon,Population,15000
1964-07,Northwest Territories including Nunavut,Population,27000
1964-10,Canada,Population,19420000
